Symbol,Status,Rows,StartDate,EndDate,NullValues,DuplicateDates,InvalidOHLCRows,NonPositivePrices,NonPositiveVolumeRows,LargeSingleDayMoves
DRREDDY,OK,1612,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
EICHERMOT,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
ENRIN,OK,254,2025-06-19T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
ETERNAL,OK,1221,2021-07-23T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,2
EXIDEIND,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,1
FEDERALBNK,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,1
FIRSTCRY,OK,465,2024-08-13T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,2
FIVESTAR,OK,893,2022-11-21T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,1
FORCEMOT,OK,1535,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,8
FORTIS,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
FSL,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,4
GAIL,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,4
GESHIP,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,2
GLAND,OK,1387,2020-11-20T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,5
GLENMARK,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,3
GMDCLTD,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,6
GMRAIRPORT,OK,1610,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
GODFRYPHLP,OK,1612,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,7
GODREJCP,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,1
GODREJPROP,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,2
GPIL,OK,1612,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,3
GRASIM,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,1
GROWW,OK,155,2025-11-12T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,1
GRSE,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,5
GVT&D,OK,1610,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,1
HAL,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,2
HAVELLS,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
HBLENGINE,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,6
HCLTECH,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
HDFCAMC,OK,1612,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,2
HDFCBANK,OK,1612,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
HDFCLIFE,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,1
HEROMOTOCO,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
HINDALCO,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,2
HINDCOPPER,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,5
HINDPETRO,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,1
