SignalFamily,LookbackDays,FormationDate,InitialCapital,FinalValue,NetPnL,TotalReturn,CAGR,AnnualizedVolatility,MaxDrawdown,Sharpe,Sortino,GainLossRatio,WinRate
6M,126,2023-01-01T00:00:00.000000,100000000,345583935.71398914,245583935.71398914,2.4769201917362356,0.4290136275784491,0.32988885997209955,-0.37706356384612905,1.269951113180147,1.828594519364704,1.0932694711157265,0.5336426914153132
6M,126,2023-07-01T00:00:00.000000,100000000,224436848.78249684,124436848.78249684,1.2354701376984294,0.3084263938731848,0.287107641080176,-0.42301480790141854,1.0986412455841925,1.4379781196691863,0.9291664244641039,0.5662162162162162
6M,126,2024-01-01T00:00:00.000000,100000000,222750752.31074023,122750752.31074023,1.0613627339697311,0.3562728285140575,0.28761022970559835,-0.2565617871136796,1.2283931893524531,1.7087961337034119,0.9162120439053748,0.5726495726495726
6M,126,2024-07-01T00:00:00.000000,100000000,127591348.50454777,27591348.504547775,0.28516733069790967,0.1341406739528903,0.3071025434263832,-0.3946097328787397,0.5725822541400876,0.888504348007817,1.000956297794043,0.5234215885947047
6M,126,2025-01-01T00:00:00.000000,100000000,85991560.97479174,-14008439.025208265,-0.13649698307045222,-0.09383648747650308,0.2895443208249657,-0.34762212362130895,-0.2035669526676656,-0.30298342897114894,0.9000010995529597,0.5177111716621253
6M,150,2021-01-01T00:00:00.000000,100000000,1002106793.0251255,902106793.0251255,8.951188636910636,0.5204213815419942,0.32970088918450763,-0.3809582079120015,1.4595713995748905,1.8901083556037672,0.9758854890727308,0.5733235077376566
6M,150,2021-07-01T00:00:00.000000,100000000,408382759.0799575,308382759.0799575,3.0940335194599244,0.32611535272815484,0.300391020083861,-0.34212649911769766,1.109138640206319,1.4058465922642835,0.9020445876771521,0.5740890688259109
6M,150,2022-01-01T00:00:00.000000,100000000,403374411.0289459,303374411.0289459,2.9875565095853216,0.36102812628480585,0.26669413953423143,-0.29248597329186965,1.3118532270519399,1.8332788787055063,0.9428191166443727,0.5693693693693693
6M,150,2022-07-01T00:00:00.000000,100000000,600491616.833488,500491616.833488,4.950720917678102,0.5637740975805852,0.27803370759315565,-0.27211722476588407,1.7820275303018063,2.359767810196376,0.919508756714941,0.5959390862944163
6M,150,2023-01-01T00:00:00.000000,100000000,332086974.5964576,232086974.5964576,2.321195242688341,0.4103779692454177,0.3000102778413061,-0.3497590020098468,1.3207396497970483,1.821093537834218,0.9851754557289017,0.5614849187935035
